dataset,regime,noise_type,noise_rate,seed,split,score_name,correctness_auroc,aurc,coverage_at_test_risk_0_05,coverage_at_test_risk_0_10,risk_at_coverage_0_10,risk_at_coverage_0_25,risk_at_coverage_0_50,risk_at_coverage_0_75,risk_at_coverage_1_00,n_examples,n_correct,accuracy,reason,run_dir
cifar100,sym35,symmetric,0.35,2,test,energy,0.7972171264214352,0.2430326290739401,0.0813,0.186,0.059,0.124,0.241,0.3625333333333333,0.4678,10000,5322,0.5322,ok,runs/srcc_cifar100_sym35_seed2
cifar100,sym35,symmetric,0.35,2,test,maxlogit,0.8102482311037504,0.2368823607350612,0.0811,0.1975,0.058,0.1192,0.2286,0.35533333333333333,0.4678,10000,5322,0.5322,ok,runs/srcc_cifar100_sym35_seed2
cifar10,asym20,asymmetric,0.2,0,test,msp,0.7803769778276151,0.08251658149180535,0.3449,0.6743,0.033,0.0404,0.064,0.11893333333333334,0.1998,10000,8002,0.8002,ok,runs/srcc_cifar10_asym20_seed0
cifar10,asym20,asymmetric,0.2,0,test,entropy,0.7831127803634677,0.08199736071635634,0.3424,0.6778,0.033,0.0408,0.0636,0.11813333333333334,0.1998,10000,8002,0.8002,ok,runs/srcc_cifar10_asym20_seed0
cifar10,asym20,asymmetric,0.2,0,test,margin,0.7777521335381872,0.08310134636180508,0.3364,0.6733,0.032,0.0416,0.0652,0.1196,0.1998,10000,8002,0.8002,ok,runs/srcc_cifar10_asym20_seed0
cifar10,asym20,asymmetric,0.2,0,test,energy,0.7379984333246018,0.0993658861289447,0.1487,0.566,0.051,0.062,0.0904,0.13173333333333334,0.1998,10000,8002,0.8002,ok,runs/srcc_cifar10_asym20_seed0
cifar10,asym20,asymmetric,0.2,0,test,maxlogit,0.7457754868089784,0.0972598629658458,0.1882,0.6053,0.051,0.0604,0.0876,0.12853333333333333,0.1998,10000,8002,0.8002,ok,runs/srcc_cifar10_asym20_seed0
cifar10,asym20,asymmetric,0.2,1,test,msp,0.7794327626099661,0.0853569207807631,0.3057,0.6633,0.04,0.0444,0.0676,0.1172,0.2021,10000,7979,0.7979,ok,runs/srcc_cifar10_asym20_seed1
cifar10,asym20,asymmetric,0.2,1,test,entropy,0.780743228808378,0.0852380530248138,0.3033,0.6691,0.04,0.044,0.0674,0.11666666666666667,0.2021,10000,7979,0.7979,ok,runs/srcc_cifar10_asym20_seed1
cifar10,asym20,asymmetric,0.2,1,test,margin,0.7777156748488533,0.08547295040138744,0.3042,0.662,0.037,0.042,0.068,0.11866666666666667,0.2021,10000,7979,0.7979,ok,runs/srcc_cifar10_asym20_seed1
cifar10,asym20,asymmetric,0.2,1,test,energy,0.7235747300295139,0.10634624598620698,0.0628,0.5235,0.061,0.0672,0.0968,0.14026666666666668,0.2021,10000,7979,0.7979,ok,runs/srcc_cifar10_asym20_seed1
cifar10,asym20,asymmetric,0.2,1,test,maxlogit,0.733081253183223,0.10379954343299946,0.0628,0.5563,0.06,0.066,0.0906,0.1364,0.2021,10000,7979,0.7979,ok,runs/srcc_cifar10_asym20_seed1
cifar10,asym20,asymmetric,0.2,2,test,msp,0.78517835773478,0.07722964101119778,0.4147,0.7011,0.03,0.038,0.0636,0.1096,0.1923,10000,8077,0.8077,ok,runs/srcc_cifar10_asym20_seed2
cifar10,asym20,asymmetric,0.2,2,test,entropy,0.7859640868239658,0.07734661293328557,0.4123,0.705,0.03,0.0384,0.0636,0.10973333333333334,0.1923,10000,8077,0.8077,ok,runs/srcc_cifar10_asym20_seed2
cifar10,asym20,asymmetric,0.2,2,test,margin,0.7839434934336831,0.07710714709392648,0.4112,0.7032,0.025,0.0384,0.0632,0.11053333333333333,0.1923,10000,8077,0.8077,ok,runs/srcc_cifar10_asym20_seed2
cifar10,asym20,asymmetric,0.2,2,test,energy,0.7178235278476386,0.10149293701639059,0.0836,0.546,0.056,0.062,0.0942,0.13426666666666667,0.1923,10000,8077,0.8077,ok,runs/srcc_cifar10_asym20_seed2
cifar10,asym20,asymmetric,0.2,2,test,maxlogit,0.7285560631289929,0.09869301885493137,0.0842,0.574,0.055,0.062,0.09,0.12853333333333333,0.1923,10000,8077,0.8077,ok,runs/srcc_cifar10_asym20_seed2
cifar10,clean,symmetric,0.0,0,test,msp,0.9274901276061369,0.0065410684520583245,0.9971,1.0,0.002,0.0024,0.003,0.0048,0.0518,10000,9482,0.9482,ok,runs/srcc_cifar10_clean_seed0
cifar10,clean,symmetric,0.0,0,test,entropy,0.9266555855883002,0.00663935634065487,0.9973,1.0,0.002,0.0032,0.0034,0.0048,0.0518,10000,9482,0.9482,ok,runs/srcc_cifar10_clean_seed0
cifar10,clean,symmetric,0.0,0,test,margin,0.9291687806769013,0.006346029322134081,0.9965,1.0,0.002,0.0024,0.0024,0.004533333333333334,0.0518,10000,9482,0.9482,ok,runs/srcc_cifar10_clean_seed0
