dataset,regime,score_name,coverage_level,mean_risk,std_risk,n_seeds
cifar100,sym35,entropy,1.0,0.4673333333333333,0.0005033222956847164,3
cifar100,sym35,margin,0.1,0.04666666666666666,0.0037859388972001817,3
cifar100,sym35,margin,0.25,0.09413333333333333,0.002571640202931455,3
cifar100,sym35,margin,0.5,0.21946666666666667,0.006268439465555464,3
cifar100,sym35,margin,0.75,0.35546666666666665,0.0021457969252574654,3
cifar100,sym35,margin,1.0,0.4673333333333333,0.0005033222956847164,3
cifar100,sym35,maxlogit,0.1,0.06166666666666667,0.003511884584284246,3
cifar100,sym35,maxlogit,0.25,0.12186666666666668,0.0023437861108329275,3
cifar100,sym35,maxlogit,0.5,0.2298,0.002615339366124406,3
cifar100,sym35,maxlogit,0.75,0.3565777777777777,0.0030002469034200252,3
cifar100,sym35,maxlogit,1.0,0.4673333333333333,0.0005033222956847164,3
cifar100,sym35,msp,0.1,0.04699999999999999,0.0043588989435406735,3
cifar100,sym35,msp,0.25,0.0936,0.0028000000000000043,3
cifar100,sym35,msp,0.5,0.21666666666666667,0.00515881123257415,3
cifar100,sym35,msp,0.75,0.3492888888888889,0.0019428882661683977,3
cifar100,sym35,msp,1.0,0.4673333333333333,0.0005033222956847164,3
