dataset,regime,noise_type,noise_rate,seed,alpha,gamma,score_name,threshold,threshold_direction,baseline_name,baseline_equivalence,prop_coverage,prop_risk,prop_n,prop_k,cert_n,cert_k,cert_risk_ucb,cert_coverage_lcb,certified,certified_coverage_at_alpha,test_coverage,test_risk,reason,delta_total,delta_risk,delta_coverage,delta_allocation,certificate_scope,n_certified_candidates,delta_risk_per_row,delta_coverage_per_row,run_dir,model,epochs,delta,cert_risk_emp,cert_coverage_emp,test_n,test_k,test_accuracy_all,zero_error_min_cert_n,cert_n_minus_zero_error_min_n
cifar100,sym35,symmetric,0.35,0,0.1,0.5,margin,0.9863133300415484,>=,srcc_main,,0.1508,0.0477453580901856,377,18,341,20,0.0918906159012731,0.1220923093240026,True,0.1220923093240026,0.1529,0.066710268149117,certified,0.05,0.0166666666666666,0.0166666666666666,risk_only_legacy,simultaneous_rows,3,0.0166666666666666,0.0166666666666666,runs/srcc_cifar100_sym35_seed0,resnet18,120,0.0166666666666666,0.0586510263929618,0.1364,1529.0,102.0,0.5332,39.0,302.0
cifar100,sym35,symmetric,0.35,1,0.05,1.0,margin,0.986796670480074,>=,srcc_main,,0.1556,0.0488431876606683,389,19,356,18,0.0812975714907501,0.1278184689579879,False,0.0,0.1559,0.0577293136626042,high_cert_error_ucb,0.05,0.0166666666666666,0.0166666666666666,risk_only_legacy,simultaneous_rows,3,0.0166666666666666,0.0166666666666666,runs/srcc_cifar100_sym35_seed1,resnet18,120,0.0166666666666666,0.0505617977528089,0.1424,1559.0,90.0,0.5326,80.0,276.0
cifar100,sym35,symmetric,0.35,1,0.1,0.5,margin,0.986796670480074,>=,srcc_main,,0.1556,0.0488431876606683,389,19,356,18,0.0812975714907501,0.1278184689579879,True,0.1278184689579879,0.1559,0.0577293136626042,certified,0.05,0.0166666666666666,0.0166666666666666,risk_only_legacy,simultaneous_rows,3,0.0166666666666666,0.0166666666666666,runs/srcc_cifar100_sym35_seed1,resnet18,120,0.0166666666666666,0.0505617977528089,0.1424,1559.0,90.0,0.5326,39.0,317.0
cifar100,sym35,symmetric,0.35,2,0.05,1.0,margin,0.988577072263399,>=,srcc_main,,0.1356,0.0471976401179941,339,16,362,29,0.115969257723324,0.1301114725298218,False,0.0,0.1399,0.0586132952108649,high_cert_error_ucb,0.05,0.0166666666666666,0.0166666666666666,risk_only_legacy,simultaneous_rows,3,0.0166666666666666,0.0166666666666666,runs/srcc_cifar100_sym35_seed2,resnet18,120,0.0166666666666666,0.080110497237569,0.1448,1399.0,82.0,0.5322,80.0,282.0
cifar100,sym35,symmetric,0.35,2,0.1,1.0,entropy,0.0561630772160111,<=,srcc_main,,0.2472,0.0987055016181229,618,61,601,64,0.1363618848916696,0.222373985340078,False,0.0,0.2446,0.0915780866721177,high_cert_error_ucb,0.05,0.0166666666666666,0.0166666666666666,risk_only_legacy,simultaneous_rows,3,0.0166666666666666,0.0166666666666666,runs/srcc_cifar100_sym35_seed2,resnet18,120,0.0166666666666666,0.1064891846921797,0.2404,2446.0,224.0,0.5322,39.0,562.0
cifar100,asym20,asymmetric,0.2,0,0.05,1.0,entropy,0.0179724566226459,<=,no_buffer_proposal,gamma_1_srcc_row,0.2572,0.046656298600311,643,30,582,25,0.0645528382958845,0.2149846133356489,False,0.0,0.2409,0.0464923204649232,high_cert_error_ucb,0.05,0.0166666666666666,0.0166666666666666,risk_only_legacy,simultaneous_rows,3,0.0166666666666666,0.0166666666666666,runs/srcc_cifar100_asym20_seed0,resnet18,120,0.0166666666666666,0.0429553264604811,0.2328,2409.0,112.0,0.6476999999999999,80.0,502.0
cifar100,asym20,asymmetric,0.2,0,0.1,1.0,msp,0.9218443403808608,>=,no_buffer_proposal,gamma_1_srcc_row,0.4368,0.0998168498168498,1092,109,1018,85,0.1038593681925097,0.3862268500775607,False,0.0,0.4164,0.090057636887608,high_cert_error_ucb,0.05,0.0166666666666666,0.0166666666666666,risk_only_legacy,simultaneous_rows,3,0.0166666666666666,0.0166666666666666,runs/srcc_cifar100_asym20_seed0,resnet18,120,0.0166666666666666,0.0834970530451866,0.4072,4164.0,375.0,0.6476999999999999,39.0,979.0
cifar100,asym20,asymmetric,0.2,1,0.05,1.0,entropy,0.0165138278677714,<=,no_buffer_proposal,gamma_1_srcc_row,0.242,0.0495867768595041,605,30,558,31,0.0799434708661058,0.2056623395127327,False,0.0,0.2391,0.0455876202425763,high_cert_error_ucb,0.05,0.0166666666666666,0.0166666666666666,risk_only_legacy,simultaneous_rows,3,0.0166666666666666,0.0166666666666666,runs/srcc_cifar100_asym20_seed1,resnet18,120,0.0166666666666666,0.0555555555555555,0.2232,2391.0,109.0,0.6529,80.0,478.0
cifar100,asym20,asymmetric,0.2,1,0.1,1.0,msp,0.8973472887984022,>=,no_buffer_proposal,gamma_1_srcc_row,0.462,0.0995670995670995,1155,115,1126,123,0.1306532189163945,0.4291037327015375,False,0.0,0.4507,0.0987353006434435,high_cert_error_ucb,0.05,0.0166666666666666,0.0166666666666666,risk_only_legacy,simultaneous_rows,3,0.0166666666666666,0.0166666666666666,runs/srcc_cifar100_asym20_seed1,resnet18,120,0.0166666666666666,0.1092362344582593,0.4504,4507.0,445.0,0.6529,39.0,1087.0
cifar100,asym20,asymmetric,0.2,2,0.05,1.0,entropy,0.0253323738656879,<=,no_buffer_proposal,gamma_1_srcc_row,0.272,0.0470588235294117,680,32,684,48,0.0939062059418437,0.2547431060772127,False,0.0,0.2736,0.0486111111111111,high_cert_error_ucb,0.05,0.0166666666666666,0.0166666666666666,risk_only_legacy,simultaneous_rows,3,0.0166666666666666,0.0166666666666666,runs/srcc_cifar100_asym20_seed2,resnet18,120,0.0166666666666666,0.0701754385964912,0.2736,2736.0,133.0,0.649,80.0,604.0
