dataset,regime,noise_type,noise_rate,seed,alpha,baseline_name,canonical_baseline_name,baseline_equivalence,method_family,method_source,gamma,score_name,threshold,threshold_direction,prop_n,prop_k,prop_coverage,prop_risk,cert_n,cert_k,cert_risk_ucb,cert_coverage_lcb,certified,certified_coverage_at_alpha,test_coverage,test_risk,delta_total,delta_risk,delta_coverage,delta_allocation,certificate_scope,n_certified_candidates,delta_risk_per_row,delta_coverage_per_row,reason,uses_test_for_selection,uses_certification_for_selection,selection_correction,is_primary_srcc,test_looks_good_but_not_certified,coverage_collapse,run_dir,model,epochs,delta,cert_risk_emp,cert_coverage_emp,test_n,test_k,test_accuracy_all,zero_error_min_cert_n,cert_n_minus_zero_error_min_n
cifar10,asym20,asymmetric,0.2,2,0.1,full_coverage,full_coverage,,comparison,reused_from_baseline_report,,full_coverage,,all,2500,489,1.0,0.1956,2500,488,0.2087009793534593,0.99880242475684,False,0.0,1.0,0.1923,0.05,0.05,0.05,risk_only_legacy,single_selector,1,0.05,0.05,high_cert_error_ucb,False,False,none_needed_fixed_selector,False,False,True,runs/srcc_cifar10_asym20_seed2,resnet18,120,,,,,,,,
cifar10,asym20,asymmetric,0.2,2,0.1,ltt_bonferroni,ltt_bonferroni,,comparison,reused_from_baseline_report,,margin,0.9839519675456893,>=,1205,64,0.482,0.0531120331950207,1146,76,0.0993980462150184,0.4196664836192861,True,0.4196664836192861,0.4691,0.0605414623747601,0.05,5e-05,5e-05,risk_only_legacy,simultaneous_rows,1000,5e-05,5e-05,certified,False,True,bonferroni,False,False,False,runs/srcc_cifar10_asym20_seed2,resnet18,120,5e-05,0.0663176265270506,0.4584,4691.0,284.0,0.8077,94.0,1052.0
cifar10,asym20,asymmetric,0.2,2,0.1,naive_empirical_threshold,no_buffer_proposal,same_as_gamma_1_no_buffer,comparison,reused_proposal_selected_naive,1.0,msp,0.931971278452505,>=,1794,178,0.7176,0.0992196209587513,1779,189,0.1190231967668846,0.6963181854600549,False,0.0,0.7124,0.1030320044918585,0.05,0.05,0.05,risk_only_legacy,single_selector,1,0.05,0.05,high_cert_error_ucb,False,False,proposal_split,False,False,True,runs/srcc_cifar10_asym20_seed2,resnet18,120,0.05,0.1062394603709949,0.7116,7124.0,734.0,0.8077,29.0,1750.0
cifar10,asym20,asymmetric,0.2,2,0.1,no_buffer_proposal,no_buffer_proposal,gamma_1_no_buffer,comparison,derived_from_srcc_gamma_1,1.0,msp,0.931971278452505,>=,1794,178,0.7176,0.0992196209587513,1779,189,0.1228244127566729,0.6918413386365712,False,0.0,0.7124,0.1030320044918585,0.05,0.0166666666666666,0.0166666666666666,risk_only_legacy,simultaneous_rows,3,0.0166666666666666,0.0166666666666666,high_cert_error_ucb,False,False,proposal_split,False,False,True,runs/srcc_cifar10_asym20_seed2,resnet18,120,0.0166666666666666,0.1062394603709949,0.7116,7124.0,734.0,0.8077,39.0,1740.0
cifar10,asym20,asymmetric,0.2,2,0.1,srcc_main,srcc_main,,srcc,reused_from_baseline_report,0.7,entropy,0.0444667940068843,<=,1446,101,0.5784,0.0698478561549101,1425,112,0.0951418170721258,0.5486459186803401,True,0.5486459186803401,0.5632,0.0717329545454545,0.05,0.0166666666666666,0.0166666666666666,risk_only_legacy,simultaneous_rows,3,0.0166666666666666,0.0166666666666666,certified,False,False,proposal_split,True,False,False,runs/srcc_cifar10_asym20_seed2,resnet18,120,0.0166666666666666,0.0785964912280701,0.57,5632.0,404.0,0.8077,39.0,1386.0
cifar10,asym20,asymmetric,0.2,2,0.1,uncertified_empirical_threshold,naive_empirical_threshold,same_selector_as_naive_empirical_threshold,diagnostic,derived_from_naive_empirical_threshold,1.0,msp,0.931971278452505,>=,1794,178,0.7176,0.0992196209587513,1779,189,0.1190231967668846,0.6963181854600549,False,0.0,0.7124,0.1030320044918585,0.05,0.05,0.05,risk_only_legacy,single_selector,1,0.05,0.05,high_cert_error_ucb,False,False,proposal_split,False,False,True,runs/srcc_cifar10_asym20_seed2,resnet18,120,0.05,0.1062394603709949,0.7116,7124.0,734.0,0.8077,29.0,1750.0
cifar10,clean,symmetric,0.0,0,0.05,clean_trained_upper_bound,clean_trained_upper_bound,,reference,reused_from_clean_upper_bound,1.0,energy,-4.156602306745967,<=,2487,122,0.9948,0.0490550864495375,2484,98,0.0486154270411234,0.989259519842837,True,0.989259519842837,0.9944,0.0482703137570394,0.05,0.0166666666666666,0.0166666666666666,risk_only_legacy,simultaneous_rows,3,0.0166666666666666,0.0166666666666666,certified,False,False,proposal_split,False,False,False,runs/srcc_cifar10_clean_seed0,resnet18,120,0.0166666666666666,0.0394524959742351,0.9936,9944.0,480.0,0.9482,80.0,2404.0
cifar10,clean,symmetric,0.0,0,0.05,full_coverage,full_coverage,,comparison,reused_from_baseline_report,,full_coverage,,all,2500,132,1.0,0.0528,2500,109,0.0509265662787497,0.99880242475684,False,0.0,1.0,0.0518,0.05,0.05,0.05,risk_only_legacy,single_selector,1,0.05,0.05,high_cert_error_ucb,False,False,none_needed_fixed_selector,False,False,True,runs/srcc_cifar10_clean_seed0,resnet18,120,,,,,,,,
cifar10,clean,symmetric,0.0,0,0.05,ltt_bonferroni,ltt_bonferroni,,comparison,reused_from_baseline_report,,maxlogit,4.524044331833346,>=,2447,102,0.9788,0.0416836943195749,2455,82,0.0497779578079149,0.9693149821867276,True,0.9693149821867276,0.9829,0.0418150371350086,0.05,5e-05,5e-05,risk_only_legacy,simultaneous_rows,1000,5e-05,5e-05,certified,False,True,bonferroni,False,False,False,runs/srcc_cifar10_clean_seed0,resnet18,120,5e-05,0.0334012219959266,0.982,9829.0,411.0,0.9482,194.0,2261.0
cifar10,clean,symmetric,0.0,0,0.05,naive_empirical_threshold,no_buffer_proposal,same_as_gamma_1_no_buffer,comparison,reused_proposal_selected_naive,1.0,energy,-4.156602306745967,<=,2487,122,0.9948,0.0490550864495375,2484,98,0.0464949954014877,0.9902956707397153,True,0.9902956707397153,0.9944,0.0482703137570394,0.05,0.05,0.05,risk_only_legacy,single_selector,1,0.05,0.05,certified,False,False,proposal_split,False,False,False,runs/srcc_cifar10_clean_seed0,resnet18,120,0.05,0.0394524959742351,0.9936,9944.0,480.0,0.9482,59.0,2425.0
