dataset,regime,noise_type,noise_rate,seed,alpha,gamma,score_name,requested_budget,actual_prop_size,actual_cert_size,subsample_seed,prop_n,prop_k,prop_coverage,prop_risk,cert_n,cert_k,cert_risk_ucb,cert_coverage_lcb,certified,certified_coverage_at_alpha,test_coverage,test_risk,reason,delta,delta_total,delta_risk,delta_coverage,delta_allocation,threshold,threshold_direction,cert_risk_emp,cert_coverage_emp,test_n,test_k,test_accuracy_all,certificate_scope,n_certified_candidates,zero_error_min_cert_n,cert_n_minus_zero_error_min_n,run_dir
cifar10,asym20,asymmetric,0.2,0,0.1,1.0,msp,250,250,250,0,143,14,0.572,0.0979020979020979,136,6,0.10575278592374074,0.4663742233335145,False,0.0,0.538,0.07063197026022305,high_cert_error_ucb,0.008333333333333333,0.05,0.008333333333333333,0.008333333333333333,joint_split,0.9823791823509539,>=,0.04411764705882353,0.544,5380,380,0.8002,simultaneous_rows,3,46,90,runs/srcc_cifar10_asym20_seed0
cifar10,asym20,asymmetric,0.2,0,0.1,0.5,entropy,250,250,250,0,1,0,0.004,0.0,5,0,0.6161480503626225,0.004915427463067672,False,0.0,0.0116,0.017241379310344827,insufficient_cert_n,0.008333333333333333,0.05,0.008333333333333333,0.008333333333333333,joint_split,0.0003198312319639873,<=,0.0,0.02,116,2,0.8002,simultaneous_rows,3,46,-41,runs/srcc_cifar10_asym20_seed0
cifar10,asym20,asymmetric,0.2,0,0.1,0.7,entropy,250,250,250,0,119,8,0.476,0.06722689075630252,122,5,0.10599955161474493,0.41106190181796814,False,0.0,0.4664,0.0604631217838765,high_cert_error_ucb,0.008333333333333333,0.05,0.008333333333333333,0.008333333333333333,joint_split,0.026071745647395284,<=,0.040983606557377046,0.488,4664,282,0.8002,simultaneous_rows,3,46,76,runs/srcc_cifar10_asym20_seed0
cifar10,asym20,asymmetric,0.2,0,0.1,1.0,entropy,250,250,250,0,142,14,0.568,0.09859154929577464,135,6,0.10651017769942721,0.46239215478938384,False,0.0,0.5393,0.06972000741702207,high_cert_error_ucb,0.008333333333333333,0.05,0.008333333333333333,0.008333333333333333,joint_split,0.04233275685727343,<=,0.044444444444444446,0.54,5393,376,0.8002,simultaneous_rows,3,46,89,runs/srcc_cifar10_asym20_seed0
cifar10,asym20,asymmetric,0.2,0,0.1,0.5,margin,250,250,250,0,1,0,0.004,0.0,4,0,0.6978624602643232,0.003133881164318331,False,0.0,0.0084,0.0,insufficient_cert_n,0.008333333333333333,0.05,0.008333333333333333,0.008333333333333333,joint_split,0.9999223762318872,>=,0.0,0.016,84,0,0.8002,simultaneous_rows,3,46,-42,runs/srcc_cifar10_asym20_seed0
cifar10,asym20,asymmetric,0.2,0,0.1,0.7,margin,250,250,250,0,112,7,0.448,0.0625,112,5,0.11510717076691346,0.3721282280812658,False,0.0,0.4299,0.05768783438008839,high_cert_error_ucb,0.008333333333333333,0.05,0.008333333333333333,0.008333333333333333,joint_split,0.9865247048465646,>=,0.044642857142857144,0.448,4299,248,0.8002,simultaneous_rows,3,46,66,runs/srcc_cifar10_asym20_seed0
cifar10,asym20,asymmetric,0.2,0,0.1,1.0,margin,250,250,250,0,142,14,0.568,0.09859154929577464,132,6,0.10884882110737285,0.45047484471767424,False,0.0,0.5311,0.06947844097156844,high_cert_error_ucb,0.008333333333333333,0.05,0.008333333333333333,0.008333333333333333,joint_split,0.9691287182379165,>=,0.045454545454545456,0.528,5311,369,0.8002,simultaneous_rows,3,46,86,runs/srcc_cifar10_asym20_seed0
cifar10,asym20,asymmetric,0.2,0,0.1,0.5,energy,250,250,250,0,0,0,0.0,,0,0,1.0,0.0,False,0.0,0.0,,no_proposal_candidate,0.008333333333333333,0.05,0.008333333333333333,0.008333333333333333,joint_split,,<=,,0.0,0,0,0.8002,simultaneous_rows,3,46,-46,runs/srcc_cifar10_asym20_seed0
cifar10,asym20,asymmetric,0.2,0,0.1,0.7,energy,250,250,250,0,0,0,0.0,,0,0,1.0,0.0,False,0.0,0.0,,no_proposal_candidate,0.008333333333333333,0.05,0.008333333333333333,0.008333333333333333,joint_split,,<=,,0.0,0,0,0.8002,simultaneous_rows,3,46,-46,runs/srcc_cifar10_asym20_seed0
cifar10,asym20,asymmetric,0.2,0,0.1,1.0,energy,250,250,250,0,87,8,0.348,0.09195402298850575,95,8,0.17708727461503915,0.3070682246389949,False,0.0,0.3606,0.07265668330560178,high_cert_error_ucb,0.008333333333333333,0.05,0.008333333333333333,0.008333333333333333,joint_split,-9.06397710435025,<=,0.08421052631578947,0.38,3606,262,0.8002,simultaneous_rows,3,46,49,runs/srcc_cifar10_asym20_seed0
cifar10,asym20,asymmetric,0.2,0,0.1,0.5,maxlogit,250,250,250,0,0,0,0.0,,0,0,1.0,0.0,False,0.0,0.0,,no_proposal_candidate,0.008333333333333333,0.05,0.008333333333333333,0.008333333333333333,joint_split,,>=,,0.0,0,0,0.8002,simultaneous_rows,3,46,-46,runs/srcc_cifar10_asym20_seed0
cifar10,asym20,asymmetric,0.2,0,0.1,0.7,maxlogit,250,250,250,0,0,0,0.0,,0,0,1.0,0.0,False,0.0,0.0,,no_proposal_candidate,0.008333333333333333,0.05,0.008333333333333333,0.008333333333333333,joint_split,,>=,,0.0,0,0,0.8002,simultaneous_rows,3,46,-46,runs/srcc_cifar10_asym20_seed0
cifar10,asym20,asymmetric,0.2,0,0.1,1.0,maxlogit,250,250,250,0,93,9,0.372,0.0967741935483871,98,9,0.185048185267979,0.3184431876474446,False,0.0,0.3725,0.07302013422818791,high_cert_error_ucb,0.008333333333333333,0.05,0.008333333333333333,0.008333333333333333,joint_split,8.98884286613081,>=,0.09183673469387756,0.392,3725,272,0.8002,simultaneous_rows,3,46,52,runs/srcc_cifar10_asym20_seed0
cifar10,asym20,asymmetric,0.2,0,0.05,0.5,msp,250,250,250,1,91,2,0.364,0.02197802197802198,100,5,0.12833698620661416,0.3260522727812762,False,0.0,0.3803,0.05364186168814094,high_cert_error_ucb,0.008333333333333333,0.05,0.008333333333333333,0.008333333333333333,joint_split,0.9950803406369026,>=,0.05,0.4,3803,204,0.8002,simultaneous_rows,3,94,6,runs/srcc_cifar10_asym20_seed0
