dataset,regime,alpha,requested_budget,gamma,score_name,row_count,certification_rate,mean_certified_coverage_at_alpha,mean_cert_risk_ucb,mean_test_risk,mean_test_coverage
cifar10,asym20,0.1,full,0.7,margin,5,1.0,0.5086730538065272,0.08580458944427174,0.07014925373134329,0.536
cifar10,asym20,0.1,full,0.7,maxlogit,5,0.0,0.0,0.10158689892894868,0.07927646270656544,0.4478
cifar10,asym20,0.1,full,0.7,msp,5,1.0,0.5078719134156421,0.08259230889796888,0.06897844423617619,0.5335
cifar10,asym20,0.1,full,1.0,energy,5,0.0,0.0,0.12773514948806614,0.1023595314887116,0.5891
cifar10,asym20,0.1,full,1.0,entropy,5,0.0,0.0,0.11385920113063716,0.10644337212602897,0.7046
cifar10,asym20,0.1,full,1.0,margin,5,0.0,0.0,0.11536269609275082,0.10936393256835246,0.7059
cifar10,asym20,0.1,full,1.0,maxlogit,5,0.0,0.0,0.12408258276389643,0.10133594004561748,0.6138
cifar10,asym20,0.1,full,1.0,msp,5,0.0,0.0,0.11362779343129618,0.10734543391945547,0.7052
cifar10,sym35,0.05,1000,0.5,energy,5,0.0,0.0,0.22868043626982876,0.052034697958642115,0.04362
cifar10,sym35,0.05,1000,0.5,entropy,5,0.0,0.0,0.268615303494121,0.032772398192665274,0.02374
cifar10,sym35,0.05,1000,0.5,margin,5,0.0,0.0,0.3063051381544163,0.029150463801574378,0.01942
cifar10,sym35,0.05,1000,0.5,maxlogit,5,0.0,0.0,0.218606863392931,0.051808891224297784,0.04342
cifar10,sym35,0.05,1000,0.5,msp,5,0.0,0.0,0.28116579506192757,0.03076336870901149,0.023
cifar10,sym35,0.05,1000,0.7,energy,5,0.0,0.0,0.1877722760619593,0.05452685099296202,0.05352
cifar10,sym35,0.05,1000,0.7,entropy,5,0.0,0.0,0.23183986148297625,0.04033918249665064,0.03542
cifar10,sym35,0.05,1000,0.7,margin,5,0.0,0.0,0.2501902587515315,0.03875969466319985,0.035019999999999996
cifar10,sym35,0.05,1000,0.7,maxlogit,5,0.0,0.0,0.19846822894191044,0.054486161788570374,0.051960000000000006
cifar10,sym35,0.05,1000,0.7,msp,5,0.0,0.0,0.2468663534649101,0.0393063111696402,0.034839999999999996
cifar10,sym35,0.05,1000,1.0,energy,5,0.0,0.0,0.1607210462316723,0.058820107925192336,0.08675999999999999
cifar10,sym35,0.05,1000,1.0,entropy,5,0.0,0.0,0.15765165143197526,0.04119698621446064,0.08042
cifar10,sym35,0.05,1000,1.0,margin,5,0.0,0.0,0.16321255781664368,0.04365877199528769,0.0616
cifar10,sym35,0.05,1000,1.0,maxlogit,5,0.0,0.0,0.15689824791437287,0.05825959751220615,0.08778
cifar10,sym35,0.05,1000,1.0,msp,5,0.0,0.0,0.16393138785372594,0.04194746452682306,0.08004
cifar10,sym35,0.05,1500,0.5,energy,5,0.0,0.0,0.2032255980798004,0.05526330185703201,0.03848
cifar10,sym35,0.05,1500,0.5,entropy,5,0.0,0.0,0.18706048253222204,0.036218847183583064,0.044180000000000004
cifar10,sym35,0.05,1500,0.5,margin,5,0.0,0.0,0.1895891032081542,0.032331725689360394,0.03652
cifar10,sym35,0.05,1500,0.5,maxlogit,5,0.0,0.0,0.20255086396207736,0.04756549719404092,0.03742
cifar10,sym35,0.05,1500,0.5,msp,5,0.0,0.0,0.18451000572359186,0.035920735374222426,0.04434
cifar10,sym35,0.05,1500,0.7,energy,5,0.0,0.0,0.19237263804365895,0.05545309787802891,0.043519999999999996
cifar10,sym35,0.05,1500,0.7,entropy,5,0.0,0.0,0.17702623855047084,0.0381578367347326,0.04796
cifar10,sym35,0.05,1500,0.7,margin,5,0.0,0.0,0.19400233224388166,0.0336355234916602,0.044
cifar10,sym35,0.05,1500,0.7,maxlogit,5,0.0,0.0,0.18923611161329415,0.05341654942861581,0.04506
cifar10,sym35,0.05,1500,0.7,msp,5,0.0,0.0,0.17880637812155215,0.03903588197359757,0.04544
cifar10,sym35,0.05,1500,1.0,energy,5,0.0,0.0,0.14815507251643942,0.056012707181743504,0.07316
cifar10,sym35,0.05,1500,1.0,entropy,5,0.0,0.0,0.13606796126704146,0.04691608947419654,0.11402000000000001
cifar10,sym35,0.05,1500,1.0,margin,5,0.0,0.0,0.14015950451154882,0.04470829998936638,0.11188000000000001
cifar10,sym35,0.05,1500,1.0,maxlogit,5,0.0,0.0,0.15232217775360474,0.05566728780639494,0.06736
cifar10,sym35,0.05,1500,1.0,msp,5,0.0,0.0,0.14187651199510645,0.04703699726210165,0.11134
